Frame,Timestamp,Error,Steering,Latency_ms,FPS
1,1770971638.7128718,2,7.891705871249672,27.58,35.4
2,1770971638.8783321,2,0.8038732051849365,3.52,10.3
3,1770971638.8868282,2,0.8040435075759889,3.74,14.8
4,1770971638.898325,2,0.8042733716964722,3.34,18.7
5,1770971638.9035118,2,0.8043771791458131,3.58,22.8
6,1770971638.9142144,2,0.8045911550521851,3.58,26.1
7,1770971638.9299314,2,0.8049056053161622,3.39,28.5
8,1770971638.9456146,2,0.8052192640304566,3.04,30.7
9,1770971638.9609685,2,0.8055263280868531,3.35,32.6
10,1770971638.9767168,3,7.554752362130278,3.10,34.2
11,1770971638.9926884,3,1.2064779114723208,4.09,35.7
12,1770971639.0074122,3,1.2069197106361391,2.80,37.2
13,1770971639.023781,3,1.2074107623100283,3.12,38.3
14,1770971639.0404146,3,1.2079094672203066,3.81,39.4
15,1770971639.056079,3,1.2083797049522402,3.47,40.4
16,1770971639.0727794,3,1.2088807129859926,4.06,41.2
17,1770971639.0880187,3,1.2093376612663271,3.40,42.1
18,1770971639.103601,3,1.209805374145508,2.91,43.0
19,1770971639.1194553,3,1.2102809977531435,2.83,43.7
20,1770971639.1355898,3,1.2107650256156923,2.99,44.4
21,1770971639.1535451,3,1.2113033413887027,4.55,44.8
22,1770971639.1682472,3,1.2117446184158327,3.38,45.5
23,1770971639.1840804,3,1.2122195768356325,3.49,46.1
24,1770971639.191992,3,1.2124569201469424,3.59,47.3
25,1770971639.199855,3,1.2126928687095644,4.26,48.5
26,1770971639.2150486,3,1.2131486654281618,3.51,49.0
27,1770971639.230874,3,1.2136231875419619,4.13,49.4
28,1770971639.2459705,3,1.2140762877464297,3.40,49.9
29,1770971639.2631123,3,1.2145906066894534,4.55,50.1
30,1770971639.2773592,3,1.2150181150436403,2.81,50.6
31,1770971639.2932339,3,1.2154941964149477,3.63,50.9
32,1770971639.3091776,3,1.2159726452827455,3.48,51.2
33,1770971639.3252904,3,1.216455914974213,3.50,51.5
34,1770971639.34041,3,1.2169096088409426,2.73,51.8
35,1770971639.3573294,3,1.2174170613288882,3.57,52.0
36,1770971639.3733084,3,1.2178963828086855,3.60,52.3
37,1770971639.389275,2,-5.443247792459263,3.58,52.5
38,1770971639.4052444,2,0.8185350966453553,3.57,52.7
39,1770971639.4208796,2,0.8188478302955627,3.18,53.0
40,1770971639.4361608,2,0.81915344953537,3.48,53.2
41,1770971639.4521177,2,0.8194727110862733,3.26,53.4
42,1770971639.4679132,2,0.8197885155677795,3.24,53.6
43,1770971639.4840028,2,0.8201103138923646,3.31,53.8
44,1770971639.499833,2,0.820426962375641,3.51,54.0
45,1770971639.515496,2,0.8207399201393127,3.20,54.2
46,1770971639.5324235,2,0.8210786414146424,4.04,54.3
47,1770971639.5474412,2,0.8213790059089661,3.15,54.5
48,1770971639.5633757,2,0.8216978573799134,3.12,54.6
49,1770971639.578652,2,0.8220034098625184,3.35,54.8
50,1770971639.594731,2,0.822324812412262,3.45,54.9
51,1770971639.6109834,1,-5.729593254649765,3.56,55.1
52,1770971639.6173043,1,0.42255057096481324,4.07,55.8
53,1770971639.626277,1,0.42264034509658815,3.14,56.3
54,1770971639.6411462,1,0.4227890348434448,2.96,56.5
55,1770971639.6566215,1,0.4229437899589539,3.49,56.6
56,1770971639.6721196,1,0.42309878110885624,2.95,56.7
57,1770971639.6876986,2,7.242510150789721,2.51,56.8
58,1770971639.704368,2,0.8237437367439271,3.22,56.9
59,1770971639.7201347,2,0.824058907032013,2.90,57.0
60,1770971639.735971,2,0.8243757557868958,2.84,57.1
61,1770971639.753008,2,0.8247162652015686,3.83,57.1
62,1770971639.7684662,2,0.8250256991386414,3.22,57.2
63,1770971639.7841055,2,0.8253384423255921,2.96,57.3
64,1770971639.7894292,2,0.8254448437690736,3.29,57.9
65,1770971639.7952626,2,0.8255614924430847,3.38,58.5
66,1770971639.8015168,2,0.8256866097450257,3.35,59.1
67,1770971639.805845,2,0.8257731604576112,2.75,59.8
68,1770971639.8158028,2,0.8259723019599915,3.64,60.1
69,1770971639.8227408,2,0.826111056804657,3.76,60.6
70,1770971639.8301191,2,0.8262585997581482,4.76,61.1
71,1770971639.8371577,2,0.8263994717597962,3.40,61.6
72,1770971639.8416955,2,0.8264902043342591,3.00,62.2
73,1770971639.8476653,2,0.8266097044944763,2.87,62.8
74,1770971639.8618476,2,0.8268932986259461,2.90,62.9
75,1770971639.8783574,2,0.8272235035896301,3.48,62.8
76,1770971639.8941703,2,0.8275397753715515,3.27,62.8
77,1770971639.9101253,1,-5.839284087933008,3.21,62.8
78,1770971639.9258065,-2,-19.905467096845467,2.81,62.8
79,1770971639.942433,-5,-20.016308282299182,3.44,62.8
80,1770971639.9573388,-10,-37.51756124525754,3.14,62.9
81,1770971639.9732504,-16,-44.08587012673072,2.92,62.9
82,1770971639.9905748,-25,-61.955838448729516,4.36,62.8
83,1770971640.0098517,-36,-71.44705469690572,7.64,62.6
84,1770971640.0198421,-51,-170.44049904835873,2.70,62.9
85,1770971640.035987,-77,-191.84931990344862,2.84,62.9
86,1770971640.053195,-99,-167.47717662762057,3.98,62.8
87,1770971640.0679827,-114,-147.06783051873134,2.77,62.9
88,1770971640.0842094,-124,-111.29410397976856,2.94,62.9
89,1770971640.10013,-136,-129.8637053361452,3.75,62.9
90,1770971640.104189,0,0,2.61,63.4
91,1770971640.1156037,0,0,3.25,63.6
92,1770971640.1207561,0,0,3.05,64.1
93,1770971640.1311946,0,0,2.85,64.3
94,1770971640.147689,0,0,3.33,64.2
95,1770971640.1632445,0,0,3.53,64.2
96,1770971640.1789312,0,0,3.11,64.2
97,1770971640.1940277,-34,94.91264380483837,3.05,64.3
98,1770971640.1985242,-30,76.84138735603047,3.08,64.7
99,1770971640.2109015,-21,64.22558923282179,3.97,64.9
100,1770971640.225966,-1,132.19637186500276,3.08,64.9
101,1770971640.2441032,35,212.37528593202003,5.11,64.8
102,1770971640.257673,132,767.6277206759195,2.71,64.8
103,1770971640.2738247,146,145.0287034742233,3.28,64.8
104,1770971640.2898505,156,124.73483719894614,3.46,64.8
105,1770971640.3052595,0,0,2.84,64.8
106,1770971640.3201892,0,0,2.71,64.8
107,1770971640.337421,0,0,3.75,64.7
108,1770971640.35257,0,0,3.17,64.8
109,1770971640.3682492,0,0,2.83,64.7
110,1770971640.3848057,0,0,3.33,64.7
111,1770971640.4008353,0,0,3.35,64.7
112,1770971640.4161825,0,0,2.79,64.7
113,1770971640.4307816,0,0,2.60,64.7
114,1770971640.4463725,0,0,3.12,64.7
115,1770971640.4515498,6,-90.3996602908228,2.85,65.1
116,1770971640.4576027,6,2.3649383091926577,4.05,65.4
117,1770971640.4777718,6,2.3661485791206363,3.61,65.2
118,1770971640.493714,6,2.367104976177216,3.53,65.2
119,1770971640.4987812,6,2.367409389019013,2.77,65.6
120,1770971640.5096886,6,2.368063533306122,3.50,65.8
121,1770971640.5260952,6,2.3690477824211125,3.63,65.7
122,1770971640.540542,6,2.36991471529007,3.39,65.7
123,1770971640.5550406,6,2.3707849240303043,2.83,65.8
124,1770971640.571261,6,2.3717580294609073,2.94,65.7
125,1770971640.5874634,5,-4.198429845600703,3.22,65.7
126,1770971640.6031103,5,1.97335027217865,2.82,65.7
127,1770971640.6192322,5,1.9741566753387452,3.51,65.6
128,1770971640.6348114,5,1.974935314655304,3.12,65.6
129,1770971640.6507995,5,1.9757347917556762,3.07,65.6
130,1770971640.6663713,5,1.976513729095459,2.63,65.6
131,1770971640.6828992,4,-4.473552988093476,2.87,65.6
132,1770971640.699332,4,1.5778321456909181,3.58,65.5
133,1770971640.71371,4,1.5784072399139406,3.00,65.5
134,1770971640.7294025,4,1.5790349578857423,2.54,65.5
135,1770971640.746572,4,1.5797216320037843,3.76,65.5
136,1770971640.7609549,3,-5.771770324042235,3.01,65.5
137,1770971640.7773392,3,1.1806447124481203,3.69,65.5
138,1770971640.7918646,3,1.1810804963111878,2.83,65.5
139,1770971640.8077736,2,-5.505970615634066,2.73,65.5
140,1770971640.8238182,2,0.78171954870224,3.32,65.4
141,1770971640.8403785,2,0.7820506739616394,3.58,65.4
142,1770971640.8547528,2,0.7823382449150086,2.68,65.4
143,1770971640.8701446,1,-6.115670416167933,3.11,65.4
144,1770971640.8851676,1,0.3826423811912537,2.71,65.4
145,1770971640.901418,1,0.3828048896789551,2.94,65.4
146,1770971640.9169042,1,0.3829597663879395,2.78,65.4
147,1770971640.9331107,0,-6.188401542540317,2.92,65.4
148,1770971640.9481783,0,-0.017040233612060546,2.60,65.4
149,1770971640.9643908,0,-0.017040233612060546,2.81,65.4
150,1770971640.9811666,0,-0.017040233612060546,3.52,65.3
151,1770971640.997098,0,-0.017040233612060546,3.60,65.3
152,1770971641.0121028,-1,-7.0831745785223275,2.59,65.3
153,1770971641.027939,-1,-0.41734862089157104,3.22,65.3
154,1770971641.0441883,-1,-0.4175110697746277,3.47,65.3
155,1770971641.059841,-1,-0.4176676297187805,3.44,65.3
156,1770971641.0758767,-1,-0.41782798767089846,3.43,65.2
157,1770971641.0919042,-1,-0.41798822164535526,3.55,65.2
158,1770971641.107723,-1,-0.418146390914917,3.80,65.2
159,1770971641.1227365,-1,-0.41829656600952153,3.85,65.2
160,1770971641.1378677,-1,-0.41844792366027833,2.84,65.2
161,1770971641.153913,-1,-0.4186083221435547,3.22,65.2
162,1770971641.1692142,-1,-0.4187613368034363,3.53,65.2
163,1770971641.1852698,-1,-0.41892194747924805,3.54,65.2
164,1770971641.2005713,-1,-0.41907495498657227,2.88,65.2
165,1770971641.215809,-1,-0.41922734260559086,3.07,65.2
166,1770971641.232659,-1,-0.41939582347869875,3.48,65.1
167,1770971641.2482412,-1,-0.41955167531967164,3.41,65.1
168,1770971641.2644212,-1,-0.41971346616745,3.42,65.1
169,1770971641.280091,-1,-0.4198701620101929,3.38,65.1
170,1770971641.2948992,-1,-0.4200182414054871,2.82,65.1
171,1770971641.3114681,-1,-0.4201839017868042,4.17,65.1
172,1770971641.3270094,-1,-0.42033928871154785,3.73,65.1
173,1770971641.3424077,-1,-0.42049331426620484,3.14,65.1
174,1770971641.3583844,-1,-0.4206531023979187,3.02,65.1
175,1770971641.374125,-1,-0.42081048965454104,2.87,65.1
176,1770971641.390457,0,6.102439824223237,3.20,65.0
177,1770971641.406102,0,-0.020810489654541017,2.83,65.0
178,1770971641.4211192,0,-0.020810489654541017,2.49,65.0
179,1770971641.4369047,0,-0.020810489654541017,2.66,65.0
180,1770971641.453936,0,-0.020810489654541017,3.69,65.0
181,1770971641.469371,0,-0.020810489654541017,3.16,65.0
182,1770971641.4852748,0,-0.020810489654541017,2.98,65.0
183,1770971641.5009224,0,-0.020810489654541017,2.72,65.0
184,1770971641.5179765,1,6.243059198366051,3.64,64.9
185,1770971641.5331676,1,0.37951187849044804,2.93,64.9
186,1770971641.549405,1,0.37967427730560305,3.27,64.9
187,1770971641.5546484,1,0.3797267174720764,3.32,65.2
188,1770971641.5638459,1,0.37981873989105225,2.64,65.3
189,1770971641.5791063,1,0.3799712944030762,3.02,65.3
190,1770971641.5946276,1,0.3801265573501587,3.40,65.3
191,1770971641.6097815,1,0.38027810335159307,2.65,65.3
192,1770971641.6266215,2,6.720629814662725,3.46,65.3
